Pond_ID,Country,Pondscape,BioMP,BioZP,BioMI,BioAmph,MDiv,logCH4.std,logCHLa.std,logBMzp.std,logBMmi.std,Plants.std,EMF,MAT.std,AI.std,Aridity.std,logArea,logDepth,logTN,logTP,Cropland.std,Latitude,Longitude,FishPA,Hydrop,AI,Ard,Year
DK016,Denmark,Aero,21,14,19,2,0.584866221,0.229819464,0.503358682,0.760355104,0.448818242,0.125,0.413470298,0.602230552,0.895923343,0.171680827,8.119696253,5.010635294,1.259880436,-1.000578548,0.93,54.85707,10.39068,1,1,0.959361393,0,2021
DK017,Denmark,Aero,14,15,20,3,0.574101171,0.275902727,0.608955224,0.78110588,0.692361601,0.4375,0.559165087,0.586575313,0.911461717,0.146049326,5.480638923,4.86753445,0.00332779,-2.058332578,0.9,54.90143,10.33348,1,1,0.976,0,2021
DK018,Denmark,Aero,12,12,8,4,0.439500717,0.424069407,0.581570475,0.846406866,0.649032884,0.125,0.525215926,0.586575313,0.92704814,0.120338565,6.70930434,4.094344562,0.641064101,-0.8663108,0.9,54.90229,10.31866,1,0,0.992690058,0,2021
DK034,Denmark,Aero,22,13,21,2,0.602155996,0.330908165,0.669512321,0.622679362,0.920856394,0.3125,0.571291248,0.60093605,0.94800292,0.085772371,5.247024072,3.912023005,-0.074723546,-0.688159639,0.8,54.87432,10.32875,1,0,1.015128593,0,2021
DK041,Denmark,Aero,16,14,13,3,0.513781056,0.469625162,0.824233227,0.703049183,0.544331512,0.0125,0.510747817,0.60093605,0.943660822,0.092934928,6.380122537,4.382026635,0.036010438,-0.61187446,0.9,54.87057,10.33645,0,1,1.010479042,0,2021
DK042,Denmark,Aero,12,19,14,3,0.542029981,0.295647375,0,0.728761197,0.723636611,0.0125,0.352109037,0.587860119,0.947917939,0.085912553,6.469250317,4.094344562,1.373799964,-0.090654368,0.8,54.86552,10.34834,1,1,1.015037594,0,2021
DK011,Denmark,Avernako,6,13,11,3,0.394395007,0.401031435,0.690914904,0.816983472,0.4962825,0.125,0.506042462,0.586575313,0.902053794,0.161568272,6.214608098,4.248495242,0.799607092,-0.273560037,0.8,55.03006,10.26042,1,1,0.965925926,0,2021
DK020,Denmark,Avernako,15,16,13,4,0.557841615,0.327501133,0.675894409,0.727361404,0.615221064,0.75,0.619195602,0.586575313,0.900719395,0.163769445,6.721425701,4.248495242,0.646579545,-1.001485578,0.8,55.02196,10.25931,0,1,0.964497041,0,2021
DK022,Denmark,Avernako,22,12,18,4,0.624940277,0.265624,0.603525233,0.638010964,0.625720648,0.0125,0.429076169,0.586575313,0.899388938,0.165964116,6.646390515,4.248495242,0.411888876,-0.179525469,0.8,55.02142,10.25612,0,1,0.963072378,0,2021
DK026,Denmark,Avernako,14,14,11,3,0.476693144,0.514037257,0.446596759,0.680008841,0.446297491,0.0125,0.41988807,0.586575313,0.900719395,0.163769445,6.56526497,4.248495242,0.517801238,-0.132769778,0.8,55.02236,10.26434,1,1,0.964497041,0,2021
DK029,Denmark,Avernako,10,19,16,3,0.543403607,0.4071442,0.610239076,0.762002791,0.705286201,0.125,0.521934454,0.586575313,0.89148801,0.17899718,6.214608098,4.094344562,0.799007571,-1.129071496,1,55.03152,10.24556,0,1,0.954612006,0,2021
DK030,Denmark,Avernako,13,15,19,4,0.586807215,0.328495593,0.582519329,0.765950654,0.816142762,0.0125,0.501121668,0.586575313,0.89148801,0.17899718,6.745236349,3.912023005,0.61320169,-1.028153825,0.85,55.03195,10.24692,0,1,0.954612006,0,2021
DK019,Denmark,Holstebro,9,17,19,2,0.510332059,0.665623746,0.619256028,0.634672351,0.612556306,0.5625,0.618921686,0.542423241,1,0,7.258412151,4.941642423,0.156433786,-2.189256408,0,56.27402,8.49317,0,1,1.070807453,0,2021
DK021,Denmark,Holstebro,15,15,26,2,0.60947205,0.660367785,0.894750963,0.565480548,0.770962139,0.4375,0.665812287,0.542423241,0.990159902,0.016231846,8.205218426,4.49980967,-1.435484605,-1.811962177,0,56.28367,8.46519,1,1,1.060270603,0,2021
DK023,Denmark,Holstebro,7,12,21,3,0.48860786,0.387106479,0.328899314,0.84778548,0.687735948,0.125,0.475305444,0.542423241,0.987598225,0.020457489,7.432483808,5.010635294,0.969136154,-0.54818141,0.85,56.21135,8.47541,1,1,1.05752754,0,2021
DK024,Denmark,Holstebro,12,15,14,3,0.49855172,0.620491839,0.412617667,0.900531778,0.623817269,0.125,0.536491711,0.542423241,0.991238021,0.014453421,7.682482447,4.094344562,-0.004342749,-1.283737773,0.3,56.21926,8.48913,1,1,1.061425061,0,2021
DK025,Denmark,Holstebro,10,18,12,1,0.431572504,0.991264587,0.836903878,0.589003865,0.602632204,0.4375,0.691460907,0.542423241,0.987598225,0.020457489,7.863266724,4.700480366,-0.669430654,-2.125834581,0.75,56.24434,8.44337,1,1,1.05752754,0,2021
DK027,Denmark,Holstebro,12,20,15,4,0.593764931,0.821402898,0.634380021,0.881720019,0.762779328,0.4375,0.707556453,0.542423241,0.978399299,0.035631681,8.23483028,4.49980967,-0.227318923,-1.683802328,0,56.24945,8.40821,0,1,1.047677262,0,2021
DK006,Denmark,Laven,13,17,24,1,0.562873268,0.130388309,0.352366707,0.631841099,0.757346429,0.0125,0.376888509,0.521354848,0.924667495,0.124265587,5.272999559,4.248495242,1.189468118,-0.894855451,0.5,56.18184,9.66953,1,1,0.990140845,0,2021
DK008,Denmark,Laven,10,13,16,3,0.478186216,0.566697904,0.47512781,0.623981656,0.783194387,0.0125,0.492300351,0.521354848,0.928591119,0.117793328,5.828945618,4.248495242,-0.315624404,-1.597838777,0.85,56.17452,9.67148,1,1,0.994342291,0,2021
